HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	Ensembl gene ID	Ensembl ID(supplied by Ensembl)
HGNC:16512	BSND	Approved	DFNB73	BART	1p32.3	AY034632	ENSG00000162399	ENSG00000162399
HGNC:51536	BSNDP1	Approved			20p11.1		ENSG00000275048	ENSG00000275048
HGNC:51537	BSNDP2	Approved			20p11.1		ENSG00000274973	ENSG00000274973
HGNC:51538	BSNDP3	Approved			20p11.1		ENSG00000277508	ENSG00000277508
HGNC:51539	BSNDP4	Approved			7p11.2		ENSG00000229627	ENSG00000229627
HGNC:33906	BSPH1	Approved		ELSPBP2, BSP1	19q13.33	DQ227497	ENSG00000188334	ENSG00000188334
HGNC:18232	BSPRY	Approved		FLJ20150	9q32	AJ276691	ENSG00000119411	ENSG00000119411
HGNC:1118	BST1	Approved		CD157, BST-1, cADPR2	4p15.32	D21878	ENSG00000109743	ENSG00000109743
HGNC:1119	BST2	Approved		CD317, tetherin, BST-2, HM1.24	19p13.11		ENSG00000130303	ENSG00000130303
HGNC:20450	BSX	Approved		BSX1	11q24.1		ENSG00000188909	ENSG00000188909
HGNC:17307	BTAF1	Approved		TAFII170, TAF172, MOT1, TAF-172, TAF(II)170	10q23.32	AJ001017	ENSG00000095564	ENSG00000095564
HGNC:1120	BTBD1	Approved			15q25.2	AF355402	ENSG00000064726	ENSG00000064726
HGNC:15504	BTBD2	Approved			19p13.3	AF355797	ENSG00000133243	ENSG00000133243
HGNC:15854	BTBD3	Approved		KIAA0952, dJ742J24.1	20p12.2	AB023169	ENSG00000132640	ENSG00000132640
HGNC:40728	BTBD3-AS1	Approved			20p12.2		ENSG00000236526	ENSG00000236526
HGNC:19897	BTBD6	Approved		BDPL	14q32.33	AF353674	ENSG00000184887	ENSG00000184887
HGNC:51542	BTBD6P1	Approved			1p36.11		ENSG00000229106	ENSG00000229106
HGNC:18269	BTBD7	Approved		FLJ10648, FUP1	14q32.12	AB040958	ENSG00000011114	ENSG00000011114
HGNC:44875	BTBD7P1	Approved			10p13		ENSG00000203414	ENSG00000203414
HGNC:44876	BTBD7P2	Approved			10q25.2		ENSG00000237618	ENSG00000237618
HGNC:21019	BTBD8	Approved	KIAA1107	APache	1p22.1	AY346333	ENSG00000189195	ENSG00000189195
HGNC:21228	BTBD9	Approved		KIAA1880, dJ322I12.1	6p21.2		ENSG00000183826	ENSG00000183826
HGNC:40959	BTBD9-AS1	Approved			6p21.2		ENSG00000226533	ENSG00000226533
HGNC:21445	BTBD10	Approved		GMRP1, GMRP-1, MGC13007	11p15.3	AY221959	ENSG00000148925	ENSG00000148925
HGNC:51540	BTBD10P1	Approved			12q13.13		ENSG00000257675	ENSG00000257675
HGNC:51541	BTBD10P2	Approved			6q25.1		ENSG00000219433	ENSG00000219433
HGNC:26340	BTBD16	Approved	C10orf87	FLJ25359, Em:AC061711.1	10q26.13	AK058088	ENSG00000138152	ENSG00000138152
HGNC:33758	BTBD17	Approved		LGALS3BPL, BTBD17A, TANGO10A	17q25.1		ENSG00000204347	ENSG00000204347
HGNC:37214	BTBD18	Approved			11q12.1		ENSG00000233436	ENSG00000233436
HGNC:27145	BTBD19	Approved			1p34.1		ENSG00000222009	ENSG00000222009
HGNC:1121	BTC	Approved			4q13.3	S55606	ENSG00000174808	ENSG00000174808
HGNC:1122	BTD	Approved			3p25.1	AF018631	ENSG00000169814	ENSG00000169814
HGNC:1124	BTEB2	Symbol Withdrawn						
HGNC:1125	BTF3	Approved	NACB	BTF3a, BTF3b	5q13.2	M90352	ENSG00000145741	ENSG00000145741
HGNC:55211	BTF3-DT	Approved			5q13.2		ENSG00000272525	ENSG00000272525
HGNC:30547	BTF3L4	Approved		MGC23908	1p32.3	BC021004	ENSG00000134717	ENSG00000134717
HGNC:39645	BTF3L4P1	Approved			21q21.1		ENSG00000232260	ENSG00000232260
HGNC:39646	BTF3L4P2	Approved			2q24.2		ENSG00000213189	ENSG00000213189
HGNC:39647	BTF3L4P3	Approved			6q23.3		ENSG00000213108	ENSG00000213108
HGNC:39648	BTF3L4P4	Approved			4q32.3		ENSG00000229226	ENSG00000229226
HGNC:1129	BTF3P1	Approved		HUMBTFA	8q11.23	M90353	ENSG00000254225	ENSG00000254225
HGNC:19924	BTF3P2	Approved			14q12		ENSG00000258282	ENSG00000258282
HGNC:31100	BTF3P3	Approved			8p21.3		ENSG00000254272	ENSG00000254272
HGNC:38566	BTF3P4	Approved			9q21.13		ENSG00000224820	ENSG00000224820
HGNC:38565	BTF3P5	Approved			2p16.1		ENSG00000233594	ENSG00000233594
HGNC:23765	BTF3P6	Approved			21q22.11		ENSG00000233956	ENSG00000233956
HGNC:38569	BTF3P7	Approved			6p25.1		ENSG00000219986	ENSG00000219986
HGNC:38572	BTF3P8	Approved			Xq11.1		ENSG00000236813	ENSG00000236813
HGNC:38573	BTF3P9	Approved			1q42.13		ENSG00000224834	ENSG00000224834
HGNC:38570	BTF3P10	Approved	RAET1J		6q25.1		ENSG00000231120	ENSG00000231120
HGNC:1126	BTF3P11	Approved	BTF3L1	HUMBTFB, TNFRSF11B, OPG, OCIF	13q22.3	M90354	ENSG00000118903	ENSG00000118903
HGNC:1127	BTF3P12	Approved	BTF3L2	HUMBTFC	8q13.3	M90355	ENSG00000213003	ENSG00000213003
HGNC:1128	BTF3P13	Approved	BTF3L3	HUMBTFD	4q23	M90356	ENSG00000227118	ENSG00000227118
HGNC:38571	BTF3P14	Approved			17p13.2		ENSG00000262609	ENSG00000262609
HGNC:38567	BTF3P15	Approved			10q25.1		ENSG00000237242	ENSG00000237242
HGNC:38568	BTF3P16	Approved			3q12.3		ENSG00000282978	ENSG00000282978
HGNC:1130	BTG1	Approved		APRO2	12q21.33		ENSG00000133639	ENSG00000133639
HGNC:55600	BTG1-DT	Approved			12q21.33		ENSG00000245904	ENSG00000245904
HGNC:37692	BTG1P1	Approved			12p13.31		ENSG00000256720	ENSG00000256720
HGNC:1131	BTG2	Approved		PC3, TIS21, MGC126063, MGC126064, APRO1	1q32.1		ENSG00000159388	ENSG00000159388
HGNC:49452	BTG2-DT	Approved	LINC01136		1q32.1		ENSG00000233791	ENSG00000233791
HGNC:1132	BTG3	Approved		ANA, tob55, APRO4, ANA/BTG3	21q21.1	D64110	ENSG00000154640	ENSG00000154640
HGNC:53145	BTG3-AS1	Approved		ASBEL	21q21.1		ENSG00000280594	ENSG00000280594
HGNC:51543	BTG3P1	Approved			Xq25		ENSG00000235334	ENSG00000235334
HGNC:13862	BTG4	Approved		PC3B, APRO3	11q23.1	AJ271351	ENSG00000137707	ENSG00000137707
HGNC:51544	BTG4P1	Approved			5p14.1		ENSG00000248156	ENSG00000248156
HGNC:1133	BTK	Approved	AGMX1, IMD1	ATK, XLA, PSCTK1	Xq22.1	AK057105	ENSG00000010671	ENSG00000010671
HGNC:21087	BTLA	Approved		BTLA1, CD272	3q13.2	AY293286	ENSG00000186265	ENSG00000186265
HGNC:1134	BTN	Symbol Withdrawn						
HGNC:1135	BTN1A1	Approved	BTN	BT, BTN1	6p22.2	U39576	ENSG00000124557	ENSG00000124557
HGNC:51545	BTN1A1P1	Approved			6p22.2		ENSG00000284688	ENSG00000284688
HGNC:1136	BTN2A1	Approved		BT2.1, BTF1, BTN2.1	6p22.2	U90543	ENSG00000112763	ENSG00000112763
HGNC:1137	BTN2A2	Approved		BTF2, BT2.2, BTN2.2	6p22.2	U90550	ENSG00000124508	ENSG00000124508
HGNC:13229	BTN2A3P	Approved	BTN2A3	BTN2.3	6p22.2	AL021917	ENSG00000124549	
HGNC:1138	BTN3A1	Approved		BT3.1, BTF5, CD277, BTN3.1	6p22.2	U90552	ENSG00000026950	ENSG00000026950
HGNC:1139	BTN3A2	Approved		BTN3.2	6p22.2	U90546	ENSG00000186470	ENSG00000186470
HGNC:1140	BTN3A3	Approved		BTF3, BTN3.3	6p22.2	U90548	ENSG00000111801	ENSG00000111801
HGNC:1142	BTNL2	Approved		HSBLMHC1, BTL-II, BTN7	6p21.32	AF186588	ENSG00000204290	ENSG00000204290
HGNC:1143	BTNL3	Approved		BTNLR, BTN9.1	5q35.3	AB020625	ENSG00000168903	ENSG00000168903
HGNC:26131	BTNL8	Approved		FLJ21458, BTN9.2	5q35.3	AK025111	ENSG00000113303	ENSG00000113303
HGNC:24176	BTNL9	Approved		FLJ32535, BTN8	5q35.3	AK057097	ENSG00000165810	ENSG00000165810
HGNC:42540	BTNL10P	Approved	BTNL10	BUTR1, BTN4	1q42.13		ENSG00000215811	ENSG00000215811
HGNC:52935	BTNL12P	Approved	LRRC58-DT		3q13.33		ENSG00000240661	ENSG00000240661
HGNC:1144	BTRC	Approved		bTrCP, betaTrCP, FBXW1A, Fwd1, beta-TrCP1, bTrCP1	10q24.32	Y14153	ENSG00000166167	ENSG00000166167
HGNC:51546	BTRCP1	Approved			6q23.3			
HGNC:1146	BTS	Symbol Withdrawn						
HGNC:1147	BTS1	Entry Withdrawn			10p11.23			
HGNC:1148	BUB1	Approved	BUB1L	hBUB1, BUB1A	2q13	AF046078	ENSG00000169679	ENSG00000169679
HGNC:1149	BUB1B	Approved		BUBR1, MAD3L, Bub1A, SSK1	15q15.1	AF107297	ENSG00000156970	ENSG00000156970
HGNC:52276	BUB1B-PAK6	Approved			15q15.1		ENSG00000259288	ENSG00000259288
HGNC:1150	BUB1L	Symbol Withdrawn						
HGNC:49529	BUB1P1	Approved			10q26.2		ENSG00000270778	ENSG00000270778
HGNC:1151	BUB3	Approved		BUB3L	10q26.13	AF053304	ENSG00000154473	ENSG00000154473
HGNC:51559	BUB3P1	Approved			7q31.1		ENSG00000227968	ENSG00000227968
HGNC:28199	BUD13	Approved		MGC13125, fSAP71, Cwc26	11q23.3	BC006350	ENSG00000137656	ENSG00000137656
HGNC:55834	BUD13-DT	Approved			11q23.3		ENSG00000226645	ENSG00000226645
HGNC:51560	BUD13P1	Approved			11q21		ENSG00000270689	ENSG00000270689
HGNC:16405	BUD23	Approved	WBSCR22	MGC19709, MGC2022, MGC5140, PP3381, WBMT, MERM1	7q11.23	AF420248	ENSG00000071462	ENSG00000071462
HGNC:29629	BUD31	Approved	G10	YCR063W, EDG-2, EDG2, fSAP17, Cwc14	7q22.1	BC022821	ENSG00000106245	ENSG00000106245
HGNC:51561	BUD31P1	Approved			8p12		ENSG00000253684	ENSG00000253684
HGNC:51562	BUD31P2	Approved			Xq13.3		ENSG00000229661	ENSG00000229661
HGNC:1152	BVES	Approved		HBVES, POP1, POPDC1	6q21	AF124512	ENSG00000112276	ENSG00000112276
HGNC:21223	BVES-AS1	Approved	C6orf112	bA99L11.2	6q21	AL137368	ENSG00000203808	ENSG00000203808
HGNC:1153	BVR1	Approved			8q24	M16601		
HGNC:1154	BWS	Symbol Withdrawn	BWCR		11pter-p15.4			
HGNC:1155	BWSCR1A	Symbol Withdrawn						
HGNC:1156	BWSCR1B	Symbol Withdrawn						
HGNC:1157	BYSL	Approved		Enp1	6p21.1	L36720	ENSG00000112578	ENSG00000112578
HGNC:1159	BZS	Symbol Withdrawn						
HGNC:18380	BZW1	Approved		BZAP45, KIAA0005, 5MP2	2q33.1	D13630	ENSG00000082153	ENSG00000082153
HGNC:40839	BZW1-AS1	Approved			2q33.1		ENSG00000230408	ENSG00000230408
HGNC:31378	BZW1P1	Approved			3q26.31		ENSG00000236686	ENSG00000236686
HGNC:33954	BZW1P2	Approved	BZW1L1		3q13.31		ENSG00000198406	ENSG00000198406
HGNC:18808	BZW2	Approved		HSPC028, MST017, MSTP017, 5MP1	7p21.1	AF083246	ENSG00000136261	ENSG00000136261
HGNC:29911	C1D	Approved		SUNCOR, SUN-CoR, LRP1, Rrp47	2p14		ENSG00000197223	ENSG00000197223
HGNC:31465	C1DP1	Approved		bA195O1.1	10p11.22		ENSG00000231245	ENSG00000231245
HGNC:31660	C1DP2	Approved		bA369J21.3	10q22.3		ENSG00000236217	ENSG00000236217
HGNC:31661	C1DP3	Approved		bA369J21.2	10q22.3		ENSG00000224760	ENSG00000224760
HGNC:38028	C1DP4	Approved			10q22.3		ENSG00000227515	ENSG00000227515
HGNC:51613	C1DP5	Approved			11q14.1		ENSG00000254965	ENSG00000254965
HGNC:24337	C1GALT1	Approved		C1GALT, T-synthase	7p22.1-p21.3	AF155582	ENSG00000106392	ENSG00000106392
HGNC:24338	C1GALT1C1	Approved		COSMC, C1GALT2	Xq24	AJ238398	ENSG00000171155	ENSG00000171155
HGNC:51617	C1GALT1C1L	Approved			2p21		ENSG00000223658	ENSG00000223658
HGNC:51614	C1GALT1P1	Approved			12q15		ENSG00000257818	ENSG00000257818
HGNC:51615	C1GALT1P2	Approved			5q11.2		ENSG00000251435	ENSG00000251435
HGNC:51616	C1GALT1P3	Approved			8q12.3		ENSG00000253544	ENSG00000253544
HGNC:1227	C1HR	Entry Withdrawn			X			
HGNC:14229	C1NH	Symbol Withdrawn						
HGNC:1234	C1orf3	Symbol Withdrawn						
HGNC:1235	C1orf4	Symbol Withdrawn			reserved			
HGNC:1236	C1orf5	Entry Withdrawn			1pter-1qter			
HGNC:1238	C1orf7	Symbol Withdrawn			1q43-q44			
HGNC:1231	C1orf11	Symbol Withdrawn			reserved			
HGNC:16786	C1orf20	Entry Withdrawn			1q25			
HGNC:15494	C1orf21	Approved		PIG13	1q25.3	AF312864	ENSG00000116667	ENSG00000116667
HGNC:55249	C1orf21-DT	Approved			1q25.3		ENSG00000271387	ENSG00000271387
HGNC:5191	C1orf28	Symbol Withdrawn			1q21-q31			
HGNC:17977	C1orf30	Symbol Withdrawn			1p13.3			
HGNC:19032	C1orf35	Approved		MGC4174, MMTAG2	1q42.13	AY137773	ENSG00000143793	ENSG00000143793
HGNC:29876	C1orf43	Approved		NICE-3, DKFZp586G1722	1q21.3	AF077036	ENSG00000143612	ENSG00000143612
HGNC:28795	C1orf50	Approved		MGC955	1p34.2	BC001711	ENSG00000164008	ENSG00000164008
HGNC:41212	C1orf50-AS1	Symbol Withdrawn			1p34.2			
HGNC:24871	C1orf52	Approved		gm117, FLJ44982	1p22.3	BC029538	ENSG00000162642	ENSG00000162642
HGNC:30003	C1orf53	Approved			1q31.3	BC038214	ENSG00000203724	ENSG00000203724
HGNC:26258	C1orf54	Approved		FLJ23221	1q21.2	BC017761	ENSG00000118292	ENSG00000118292
HGNC:26045	C1orf56	Approved		FLJ20519, MENT	1q21.3	BC002469	ENSG00000143443	ENSG00000143443
HGNC:28411	C1orf67	Symbol Withdrawn	C1orf67	MGC27277	1q42.12			
HGNC:26319	C1orf74	Approved		FLJ25078, URLC4	1q32.2	AK057807	ENSG00000162757	ENSG00000162757
HGNC:27144	C1orf84	Symbol Withdrawn		RP11-506B15.1, FLJ34502, SZT2A	1p34.2			
HGNC:28547	C1orf87	Approved		MGC34837, CREF	1p32.1	AK124828	ENSG00000162598	ENSG00000162598
HGNC:28250	C1orf94	Approved		MGC15882	1p35.1	AK123355	ENSG00000142698	ENSG00000142698
HGNC:29591	C1orf105	Approved			1q24.3	AL035295	ENSG00000180999	ENSG00000180999
HGNC:25873	C1orf115	Approved		FLJ14146, RDD1	1q41	AK024208	ENSG00000162817	ENSG00000162817
HGNC:28667	C1orf116	Approved		SARG, FLJ36507, MGC2742, MGC4309	1q32.1		ENSG00000182795	ENSG00000182795
HGNC:24789	C1orf122	Approved		FLJ45459	1p34.3	AK127381	ENSG00000197982	ENSG00000197982
HGNC:26730	C1orf127	Approved		FLJ37118	1p36.22	AK094437	ENSG00000175262	ENSG00000175262
HGNC:25332	C1orf131	Approved		DKFZp547B1713	1q42.2	BC062353	ENSG00000143633	ENSG00000143633
HGNC:32021	C1orf134	Entry Withdrawn			1p36.13			
HGNC:32039	C1orf136	Entry Withdrawn		FLJ13381, FLJ21640	1q42.2			
HGNC:32044	C1orf141	Approved			1p31.3	BC090886	ENSG00000203963	ENSG00000203963
HGNC:24032	C1orf146	Approved		SPO16, SCRE	1p22.1		ENSG00000203910	ENSG00000203910
HGNC:26062	C1orf159	Approved		FLJ20584	1p36.33	AK128434	ENSG00000131591	ENSG00000131591
HGNC:28344	C1orf162	Approved		MGC24133	1p13.2	BC017973	ENSG00000143110	ENSG00000143110
HGNC:25262	C1orf167	Approved		DKFZp434E1410, RP11-56N19.2	1p36.22	AL834308	ENSG00000215910	ENSG00000215910
HGNC:41091	C1orf167-AS1	Approved			1p36.22		ENSG00000177553	ENSG00000177553
HGNC:27915	C1orf174	Approved		RP13-531C17.2	1p36.32	BC035643	ENSG00000198912	ENSG00000198912
HGNC:32157	C1orf178	Symbol Withdrawn	C1orf178	FLJ22588	1p13.2			
HGNC:28096	C1orf185	Approved		FLJ27485	1p32.3	AK130995	ENSG00000204006	ENSG00000204006
HGNC:26492	C1orf188	Symbol Withdrawn	C1orf188	FLJ32096	1p36.31			
HGNC:32329	C1orf193	Entry Withdrawn		RP11-216N14.4	1q21.3			
HGNC:32336	C1orf196	Symbol Withdrawn			1p36.21			
HGNC:32338	C1orf197	Entry Withdrawn		PRO0650, FLJ43126	1q42.12			
HGNC:25900	C1orf198	Approved		FLJ14525, MGC10710, FLJ16283, DKFZp667D152, FLJ38847	1q42.2	BC066649	ENSG00000119280	ENSG00000119280
HGNC:56760	C1orf202	Approved			1q44		ENSG00000284188	ENSG00000284188
HGNC:28755	C1orf210	Approved		MGC52423, TEMP	1p34.2	BC041633	ENSG00000253313	ENSG00000253313
HGNC:26500	C1orf215	Symbol Withdrawn		FLJ32206	1p36.11			
HGNC:26800	C1orf216	Approved		FLJ38984	1p34.3	AK096303	ENSG00000142686	ENSG00000142686
HGNC:25946	C1orf218	Symbol Withdrawn	C1orf218	FLJ20054	1q31.3			
HGNC:33805	C1orf220	Approved		FLJ35530	1q25.2		ENSG00000213057	ENSG00000213057
HGNC:27917	C1orf222	Symbol Withdrawn			1p36.33			
HGNC:34351	C1orf226	Approved		FLJ13137	1q23.3	AI480219, AK023199, AK125122, AL512785, BC127743	ENSG00000239887	ENSG00000239887
HGNC:53426	C1orf232	Approved			1p36.11		ENSG00000282872	ENSG00000282872
HGNC:1241	C1QA	Approved			1p36.12	AF135157	ENSG00000173372	ENSG00000173372
HGNC:1242	C1QB	Approved			1p36.12	X03084	ENSG00000173369	ENSG00000173369
HGNC:1243	C1QBP	Approved	HABP1	gC1Q-R, gC1qR, p32, SF2p32	17p13.2	X75913	ENSG00000108561	ENSG00000108561
HGNC:1244	C1QBPP1	Approved	C1QBPP		21q21.1		ENSG00000215353	ENSG00000215353
HGNC:51618	C1QBPP2	Approved			11q13.2		ENSG00000213409	ENSG00000213409
HGNC:51619	C1QBPP3	Approved			15q14			
HGNC:1245	C1QC	Approved	C1QG		1p36.12	AK057792	ENSG00000159189	ENSG00000159189
HGNC:24182	C1QL1	Approved		CRF, C1QRF, C1QTNF14, CTRP14	17q21.31	AF410771	ENSG00000131094	ENSG00000131094
HGNC:51809	C1QL1P1	Approved			16p11.1		ENSG00000260134	ENSG00000260134
HGNC:24181	C1QL2	Approved		CTRP10, C1QTNF10	2q14.2	AF525315	ENSG00000144119	ENSG00000144119
HGNC:19359	C1QL3	Approved		K100, C1ql, C1QTNF13, CTRP13	10p13		ENSG00000165985	ENSG00000165985
HGNC:31416	C1QL4	Approved		C1QTNF11, CTRP11	12q13.12		ENSG00000186897	ENSG00000186897
HGNC:14324	C1QTNF1	Approved		CTRP1, ZSIG37, GIP, FLJ90694	17q25.3	AF329840	ENSG00000173918	ENSG00000173918
HGNC:44351	C1QTNF1-AS1	Approved			17q25.3		ENSG00000265096	ENSG00000265096
HGNC:14325	C1QTNF2	Approved		CTRP2	5q33.3	AF329836	ENSG00000145861	ENSG00000145861
HGNC:14326	C1QTNF3	Approved		CTRP3, Cors, Corcs, 2310005P21Rik, Cors-26	5p13.2	AF329837	ENSG00000082196	ENSG00000082196
HGNC:49198	C1QTNF3-AMACR	Approved			5p13.2		ENSG00000273294	ENSG00000273294
HGNC:14346	C1QTNF4	Approved		CTRP4, ZACRP4	11p11.2	AF329838	ENSG00000172247	ENSG00000172247
HGNC:14344	C1QTNF5	Approved		CTRP5, DKFZp586B0621, LORD	11q23.3	AF329841	ENSG00000223953	ENSG00000223953
HGNC:14343	C1QTNF6	Approved		CTRP6, ZACRP6	22q12.3	AF329842	ENSG00000133466	ENSG00000133466
HGNC:14342	C1QTNF7	Approved		CTRP7	4p15.32	AF329839	ENSG00000163145	ENSG00000163145
HGNC:40683	C1QTNF7-AS1	Approved			4p15.32		ENSG00000249252	ENSG00000249252
HGNC:31374	C1QTNF8	Approved		UNQ5829, CTRP8	16p13.3	AY358832	ENSG00000184471	ENSG00000184471
HGNC:28732	C1QTNF9	Approved		MGC48915, CTRP9, C1QTNF9A, AQL1	13q12.12	BC040438	ENSG00000240654	ENSG00000240654
HGNC:39906	C1QTNF9-AS1	Approved			13q12.12		ENSG00000240868	ENSG00000240868
HGNC:34072	C1QTNF9B	Approved		CTRP9B	13q12.12	BC110413	ENSG00000205863	ENSG00000205863
HGNC:32308	C1QTNF12	Approved	C1QDC2, FAM132A	MGC105127, CTRP12, ADIPOLIN	1p36.33	BC089443	ENSG00000184163	ENSG00000184163
HGNC:1246	C1R	Approved			12p13.31	M14058	ENSG00000159403	ENSG00000159403
HGNC:21265	C1RL	Approved		C1r-LP, C1RL1	12p13.31	AF178985	ENSG00000139178	ENSG00000139178
HGNC:27461	C1RL-AS1	Approved		MATL2963	12p13.31	AL833364	ENSG00000205885	ENSG00000205885
HGNC:1247	C1S	Approved			12p13.31		ENSG00000182326	ENSG00000182326
HGNC:1248	C2	Approved			6p21.33		ENSG00000166278	ENSG00000166278
HGNC:49464	C2-AS1	Approved			6p21.33	BX100594	ENSG00000281756	ENSG00000281756
HGNC:1266	C2CD2	Approved	C21orf25	TMEM24L, DKFZP586F0422, C21orf258	21q22.3	AB047784	ENSG00000157617	ENSG00000157617
HGNC:29000	C2CD2L	Approved	TMEM24	KIAA0285	11q23.3	AK025223	ENSG00000172375	ENSG00000172375
HGNC:24564	C2CD3	Approved		DKFZP586P0123	11q13.4	BC035599	ENSG00000168014	ENSG00000168014
HGNC:33627	C2CD4A	Approved	FAM148A	NLF1	15q22.2	AF504646	ENSG00000198535	ENSG00000198535
HGNC:33628	C2CD4B	Approved	FAM148B	NLF2	15q22.2	BM023530	ENSG00000205502	ENSG00000205502
HGNC:29417	C2CD4C	Approved	KIAA1957, FAM148C	NLF3	19p13.3	AB075837	ENSG00000183186	ENSG00000183186
HGNC:37210	C2CD4D	Approved		FAM148D	1q21.3	BC171843	ENSG00000225556	ENSG00000225556
HGNC:54045	C2CD4D-AS1	Approved			1q21.3		ENSG00000234614	ENSG00000234614
HGNC:29062	C2CD5	Approved	KIAA0528	CDP138	12p12.1	AB011100	ENSG00000111731	ENSG00000111731
HGNC:55961	C2CD5-AS1	Approved			12p12.1		ENSG00000250166	ENSG00000250166
HGNC:14438	C2CD6	Approved	ALS2CR11	FLJ25351	2q33.1	AB053313	ENSG00000155754	ENSG00000155754
HGNC:1315	C2orf1	Symbol Withdrawn			2p22			
HGNC:24242	C2orf12	Symbol Withdrawn	C2orf12	HCC-4, DKFZp564H0764	2q24.3			
HGNC:28436	C2orf15	Approved		MGC29762	2q11.2	BC021264	ENSG00000273045	ENSG00000273045
HGNC:31020	C2orf20	Symbol Withdrawn		FLJ30229	2			
HGNC:25264	C2orf31	Symbol Withdrawn		DKFZP434E2135	2q34			
HGNC:26056	C2orf42	Approved		FLJ20558	2p13.3	AK000565	ENSG00000115998	ENSG00000115998
HGNC:26322	C2orf48	Symbol Withdrawn		FLJ25102	2p25.1			
HGNC:28772	C2orf49	Approved		MGC5509, asw	2q12.2	BC001310	ENSG00000135974	ENSG00000135974
HGNC:55178	C2orf49-DT	Approved			2q12.2		ENSG00000272994	ENSG00000272994
HGNC:26324	C2orf50	Approved		FLJ25143	2p25.1	AK057872	ENSG00000150873	ENSG00000150873
HGNC:33809	C2orf66	Approved		UNQ6411	2q33.1		ENSG00000187944	ENSG00000187944
HGNC:34353	C2orf68	Approved			2p11.2		ENSG00000168887	ENSG00000168887
HGNC:26799	C2orf69	Approved		FLJ38973	2q33.1		ENSG00000178074	ENSG00000178074
HGNC:51800	C2orf69P1	Approved			16p11.1		ENSG00000261046	ENSG00000261046
HGNC:51801	C2orf69P2	Approved			16p11.1		ENSG00000260341	ENSG00000260341
HGNC:51802	C2orf69P3	Approved			16p11.1		ENSG00000261299	ENSG00000261299
HGNC:51803	C2orf69P4	Approved			16p11.1		ENSG00000260480	ENSG00000260480
HGNC:51804	C2orf69P5	Approved			16p11.2			
HGNC:27418	C2orf72	Approved		LOC257407	2q37.1		ENSG00000204128	ENSG00000204128
HGNC:26861	C2orf73	Approved		FLJ40298	2p16.2	BC031669, AK097617	ENSG00000177994	ENSG00000177994
HGNC:34439	C2orf74	Approved		LOC339804	2p15		ENSG00000237651	ENSG00000237651
HGNC:56377	C2orf74-AS1	Approved		AC016747.2	2p15		ENSG00000271889	ENSG00000271889
HGNC:27941	C2orf74-DT	Approved			2p15		ENSG00000212978	ENSG00000212978
HGNC:27017	C2orf76	Approved		MGC104437, LOC130355, AIM29	2q14.2		ENSG00000186132	ENSG00000186132
HGNC:34349	C2orf78	Approved		FLJ43987, hCG1989538, COG5373	2p13.1	AC092653, AC136006, AK125975	ENSG00000187833	ENSG00000187833
HGNC:34352	C2orf80	Approved		LOC389073, GONDA1	2q33.3	AC016697, AW136505, BC035737	ENSG00000188674	ENSG00000188674
HGNC:34350	C2orf81	Approved		LOC388963, hCG40743	2p13.1	AC005041, CH471053	ENSG00000284308	ENSG00000284308
HGNC:28191	C2orf88	Approved		MGC13057, smAKAP	2q32.2	BC005083	ENSG00000187699	ENSG00000187699
HGNC:37251	C2orf90	Entry Withdrawn			2p25.3			
HGNC:49272	C2orf92	Approved	LINC01125		2q11.2		ENSG00000228486	ENSG00000228486
HGNC:1318	C3	Approved		CPAMD1, ARMD9, C3a, C3b	19p13.3	J04763	ENSG00000125730	ENSG00000125730
HGNC:1319	C3AR1	Approved		C3AR, AZ3B	12p13.31	U28488	ENSG00000171860	ENSG00000171860
HGNC:1320	C3CER1	Approved		CER1	3p22-p21.2			
HGNC:32407	C3orf7	Symbol Withdrawn	C3orf7		3			
HGNC:24837	C3orf18	Approved		G20	3p21.31	AF188706	ENSG00000088543	ENSG00000088543
HGNC:25320	C3orf20	Approved		DKFZP434N1817	3p25.1	AL136781	ENSG00000131379	ENSG00000131379
HGNC:28534	C3orf22	Approved		MGC34728	3q21.3		ENSG00000180697	ENSG00000180697
HGNC:26434	C3orf33	Approved		FLJ31139, AC3-33	3q25.31	AF115515	ENSG00000174928	ENSG00000174928
HGNC:26170	C3orf36	Approved		FLJ22173	3q22.1	AK025826	ENSG00000288547	ENSG00000288547
HGNC:28384	C3orf38	Approved		MGC26717	3p11.1	AL832398	ENSG00000179021	ENSG00000179021
HGNC:25190	C3orf49	Approved			3p14.1	BC015210	ENSG00000163632	ENSG00000163632
HGNC:55036	C3orf49P1	Approved			Xq22.1		ENSG00000226119	ENSG00000226119
HGNC:26255	C3orf52	Approved		FLJ23186, TTMP	3q13.2	AY830714	ENSG00000114529	ENSG00000114529
HGNC:26589	C3orf53	Entry Withdrawn		FLJ33651	3p24.1			
HGNC:24771	C3orf62	Approved		FLJ43654, MAPS	3p21.31	AK125642	ENSG00000188315	ENSG00000188315
HGNC:33731	C3orf70	Approved			3q27.2		ENSG00000187068	ENSG00000187068
HGNC:34529	C3orf73	Symbol Withdrawn			3q21.3			
HGNC:40048	C3orf80	Approved			3q25.33		ENSG00000180044	ENSG00000180044
HGNC:44666	C3orf84	Approved			3p21.31		ENSG00000236980	ENSG00000236980
